image_id,style,building_name,source,source_url,original_filename,resolution,aspect_ratio,architectural_elements,materials,license,copyright,keep,removal_reason,split,caption,tokens_detected
ARC_0042,Bauhaus architecture,Bauhaus architecture Building specimen 14,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003964.jpg,768x1024,0.75,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus style institutional facade, asymmetric planar composition, steel frame entrance canopy, large industrial workshop glazing, smooth light-gray plaster, architectural photography","asymmetric composition, steel canopy, industrial glazing, smooth plaster"
ARC_0043,Bauhaus architecture,Bauhaus architecture Building specimen 15,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003923.jpg,1036x768,1.35,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus residential block, cubic white massing, recessed balcony niches, horizontal corner ribbon windows, flat parapet roof, bright natural sunlight, architectural photography","cubic massing, corner ribbon windows, recessed balconies, flat roof"
ARC_0044,Bauhaus architecture,Bauhaus architecture Building specimen 16,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003900.jpg,1045x768,1.36,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0045,Bauhaus architecture,Bauhaus architecture Building specimen 17,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003930.jpg,768x768,1.00,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0046,Bauhaus architecture,Bauhaus architecture Building specimen 18,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003873.jpg,1067x768,1.39,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
ARC_0047,Bauhaus architecture,Bauhaus architecture Building specimen 19,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003948.jpg,1067x768,1.39,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus style institutional facade, asymmetric planar composition, steel frame entrance canopy, large industrial workshop glazing, smooth light-gray plaster, architectural photography","asymmetric composition, steel canopy, industrial glazing, smooth plaster"
ARC_0048,Bauhaus architecture,Bauhaus architecture Building specimen 20,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003883.jpg,1068x768,1.39,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus residential block, cubic white massing, recessed balcony niches, horizontal corner ribbon windows, flat parapet roof, bright natural sunlight, architectural photography","cubic massing, corner ribbon windows, recessed balconies, flat roof"
ARC_0049,Bauhaus architecture,Bauhaus architecture Building specimen 21,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003864.jpg,1076x768,1.40,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0050,Bauhaus architecture,Bauhaus architecture Building specimen 22,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003935.jpg,768x1060,0.72,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0051,Bauhaus architecture,Bauhaus architecture Building specimen 23,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003925.jpg,834x768,1.09,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
ARC_0052,Bauhaus architecture,Bauhaus architecture Building specimen 24,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003949.jpg,1092x768,1.42,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"Bauhaus style institutional facade, asymmetric planar composition, steel frame entrance canopy, large industrial workshop glazing, smooth light-gray plaster, architectural photography","asymmetric composition, steel canopy, industrial glazing, smooth plaster"
ARC_0053,Bauhaus architecture,Bauhaus architecture Building specimen 25,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003889.jpg,1143x768,1.49,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"Bauhaus residential block, cubic white massing, recessed balcony niches, horizontal corner ribbon windows, flat parapet roof, bright natural sunlight, architectural photography","cubic massing, corner ribbon windows, recessed balconies, flat roof"
ARC_0054,Bauhaus architecture,Bauhaus architecture Building specimen 26,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003934.jpg,1151x768,1.50,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0055,Bauhaus architecture,Bauhaus architecture Building specimen 27,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003861.jpg,1151x768,1.50,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0056,Bauhaus architecture,Bauhaus architecture Building specimen 28,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003944.jpg,1151x768,1.50,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
ARC_0057,International style,International style Building specimen 1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009835.jpg,1000x820,1.22,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0058,International style,International style Building specimen 2,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010016.jpg,785x1000,0.79,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0059,International style,International style Building specimen 3,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010087.jpg,768x1024,0.75,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0060,International style,International style Building specimen 4,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009819.jpg,1024x768,1.33,rectilinear curtain wall;recessed colonnade;flat roof slab,bronze;plate glass;travertine,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style urban complex, rectilinear glass and bronze curtain wall, recessed entrance colonnade with high ceilings, flat roof slab, crisp modernist lines, architectural photography","curtain wall, recessed colonnade, flat roof slab, rectilinear grid"
ARC_0061,International style,International style Building specimen 5,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009816.jpg,1024x768,1.33,steel mullions;floor-to-ceiling glass;minimalist rhythm,painted steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style commercial tower, black painted steel mullions, floor-to-ceiling vision glass, minimalist modular rhythm, pristine geometric form, architectural photography","steel mullions, vision glass, minimalist rhythm, modular grid"
ARC_0062,International style,International style Building specimen 6,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009974.jpg,768x1024,0.75,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0063,International style,International style Building specimen 7,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009855.jpg,1024x768,1.33,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0064,International style,International style Building specimen 8,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009978.jpg,1024x768,1.33,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0065,International style,International style Building specimen 9,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010037.jpg,1024x768,1.33,rectilinear curtain wall;recessed colonnade;flat roof slab,bronze;plate glass;travertine,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style urban complex, rectilinear glass and bronze curtain wall, recessed entrance colonnade with high ceilings, flat roof slab, crisp modernist lines, architectural photography","curtain wall, recessed colonnade, flat roof slab, rectilinear grid"
ARC_0066,International style,International style Building specimen 10,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009972.jpg,1024x768,1.33,steel mullions;floor-to-ceiling glass;minimalist rhythm,painted steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style commercial tower, black painted steel mullions, floor-to-ceiling vision glass, minimalist modular rhythm, pristine geometric form, architectural photography","steel mullions, vision glass, minimalist rhythm, modular grid"
ARC_0067,International style,International style Building specimen 11,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009960.jpg,1028x768,1.34,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0068,International style,International style Building specimen 12,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009893.jpg,768x768,1.00,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0069,International style,International style Building specimen 13,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009852.jpg,1058x768,1.38,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0070,International style,International style Building specimen 14,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009896.jpg,1076x768,1.40,rectilinear curtain wall;recessed colonnade;flat roof slab,bronze;plate glass;travertine,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style urban complex, rectilinear glass and bronze curtain wall, recessed entrance colonnade with high ceilings, flat roof slab, crisp modernist lines, architectural photography","curtain wall, recessed colonnade, flat roof slab, rectilinear grid"
ARC_0071,International style,International style Building specimen 15,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009943.jpg,1092x768,1.42,steel mullions;floor-to-ceiling glass;minimalist rhythm,painted steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style commercial tower, black painted steel mullions, floor-to-ceiling vision glass, minimalist modular rhythm, pristine geometric form, architectural photography","steel mullions, vision glass, minimalist rhythm, modular grid"
ARC_0072,International style,International style Building specimen 16,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009822.jpg,768x1026,0.75,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0073,International style,International style Building specimen 17,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009921.jpg,1026x768,1.34,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0074,International style,International style Building specimen 18,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009834.jpg,1150x768,1.50,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0075,International style,International style Building specimen 19,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010039.jpg,1151x768,1.50,rectilinear curtain wall;recessed colonnade;flat roof slab,bronze;plate glass;travertine,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style urban complex, rectilinear glass and bronze curtain wall, recessed entrance colonnade with high ceilings, flat roof slab, crisp modernist lines, architectural photography","curtain wall, recessed colonnade, flat roof slab, rectilinear grid"
ARC_0076,International style,International style Building specimen 20,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009841.jpg,1151x768,1.50,steel mullions;floor-to-ceiling glass;minimalist rhythm,painted steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style commercial tower, black painted steel mullions, floor-to-ceiling vision glass, minimalist modular rhythm, pristine geometric form, architectural photography","steel mullions, vision glass, minimalist rhythm, modular grid"
ARC_0077,International style,International style Building specimen 21,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010086.jpg,1151x768,1.50,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0078,International style,International style Building specimen 22,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009989.jpg,768x1151,0.67,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0079,International style,International style Building specimen 23,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010014.jpg,1151x768,1.50,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0080,International style,International style Building specimen 24,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009914.jpg,1151x768,1.50,rectilinear curtain wall;recessed colonnade;flat roof slab,bronze;plate glass;travertine,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"International Style urban complex, rectilinear glass and bronze curtain wall, recessed entrance colonnade with high ceilings, flat roof slab, crisp modernist lines, architectural photography","curtain wall, recessed colonnade, flat roof slab, rectilinear grid"
ARC_0081,International style,International style Building specimen 25,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010073.jpg,1151x768,1.50,steel mullions;floor-to-ceiling glass;minimalist rhythm,painted steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"International Style commercial tower, black painted steel mullions, floor-to-ceiling vision glass, minimalist modular rhythm, pristine geometric form, architectural photography","steel mullions, vision glass, minimalist rhythm, modular grid"
ARC_0082,International style,International style Building specimen 26,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010013.jpg,1155x768,1.50,modular curtain wall;uniform structural grid;reflective glazing,structural steel;tinted glass;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"International Style skyscraper facade, precise modular steel and glass curtain wall, uniform rectangular structural grid, reflective dark glazing, direct sunlight, architectural photography","modular curtain wall, structural grid, steel and glass, reflective glazing"
ARC_0083,International style,International style Building specimen 27,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,009949.jpg,1155x768,1.50,steel pilotis;open ground floor;floating volume;marble accent,steel;glass;marble,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"International Style pavilion, slender cylindrical steel pilotis, open ground-floor glass box, floating rectilinear upper volume, polished marble wall accents, architectural photography","pilotis, open ground floor, floating volume, glass curtain wall"
ARC_0084,International style,International style Building specimen 28,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,010017.jpg,768x1157,0.66,concrete spandrels;continuous ribbon glazing;planar geometry,precast concrete;aluminum;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"International Style office building, alternating bands of white concrete spandrels and continuous horizontal ribbon glazing, planar facade geometry, clear sky, architectural photography","ribbon glazing, concrete spandrels, planar geometry"
ARC_0085,Postmodern architecture,Postmodern architecture Building specimen 1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011652.jpg,1000x1000,1.00,broken pediment;oversized columns;polychrome panels;cornices,precast concrete;stone cladding;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern architecture, playful broken pediment roofline, oversized classical columns, polychrome facade panels, decorative geometric cornices, bright daylight, architectural photography","broken pediment, oversized columns, polychrome facade, decorative cornices"
ARC_0086,Postmodern architecture,Postmodern architecture Building specimen 2,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011644.jpg,1000x1000,1.00,triangular gable;arched entrance window;pastel facade,stucco;tinted glass;granite,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern civic building, exaggerated triangular gable, pastel stucco walls, monumental arched entrance window, ironic classical motifs, architectural photography","triangular gable, arched window, pastel stucco, classical motifs"
ARC_0087,Postmodern architecture,Postmodern architecture Building specimen 3,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011742.jpg,1000x913,1.10,polychrome masonry;punched windows;barrel-vaulted roof,granite;limestone;aluminum,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern office complex, striped polychrome stone masonry, decorative square punched windows, curved barrel-vaulted roof canopy, eclectic architectural composition, architectural photography","polychrome masonry, punched windows, barrel-vaulted roof, decorative stonework"
ARC_0088,Postmodern architecture,Postmodern architecture Building specimen 4,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011648.jpg,1000x903,1.11,cylindrical rotunda;contrasting color accents;stylized pilasters,plaster;enameled steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern institutional facade, bold geometric shapes, monumental cylindrical corner rotunda, contrasting bright color accents, stylized classical pilasters, architectural photography","cylindrical rotunda, color accents, stylized pilasters, geometric shapes"
ARC_0089,Postmodern architecture,Postmodern architecture Building specimen 5,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011778.jpg,864x864,1.00,stepped clock tower;oversized keystone archway;two-tone masonry,brick;ceramic tile;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern public library, whimsical stepped clock tower, oversized keystone archway, two-tone brick and tile facade, expressive historicist elements, architectural photography","keystone archway, stepped tower, two-tone brick, historicist motifs"
ARC_0090,Postmodern architecture,Postmodern architecture Building specimen 6,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011834.jpg,812x1000,0.81,broken pediment;oversized columns;polychrome panels;cornices,precast concrete;stone cladding;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern architecture, playful broken pediment roofline, oversized classical columns, polychrome facade panels, decorative geometric cornices, bright daylight, architectural photography","broken pediment, oversized columns, polychrome facade, decorative cornices"
ARC_0091,Postmodern architecture,Postmodern architecture Building specimen 7,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,011781.jpg,800x933,0.86,triangular gable;arched entrance window;pastel facade,stucco;tinted glass;granite,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Postmodern civic building, exaggerated triangular gable, pastel stucco walls, monumental arched entrance window, ironic classical motifs, architectural photography","triangular gable, arched window, pastel stucco, classical motifs"
